candidate,gender,constituency,seats,party
Cordelia Nic Fhearraigh,Female,Donegal,5,Fis Nua
Mairead Ni Chroinin,Male,Galway East,3,Green Party
Maebh Ni Fhalluin,Female,Kildare North,4,Green Party
Derek  Nolan,Male,Galway West,5,Labour Party
Carol Nolan,Female,Offaly,3,Sinn Fein
Malcolm  Noonan,Male,Carlow-Kilkenny,5,Green Party
Michael  Noonan,Male,Limerick City,4,Fine Gael
Catherine  Noone,Female,Dublin West,4,Fine Gael
Ann Norton,Female,Clare,4,Independent
Gerry O'Boyle,Male,Mayo,4,Independent
Emmett O'Brien,Male,Limerick County,3,Independent
Jo O'Brien,Female,Dublin West,4,Renua
Niamh O'Brien,Female,Clare,4,Fis Nua
Joe O'Brien,Male,Dublin Fingal,5,Green Party
Johnathan O'Brien,Male,Cork North-Central,4,Sinn Fein
Darragh O'Brien,Male,Dublin Fingal,5,Fianna Fail
Michael O'Brien,Male,Dublin Bay North,5,People Before Profit Alliance
Shane O'Brien ,Male,Dun Laoghaire,4,Sinn Fein
Eoin  O' Broin,Male,Dublin Mid-West,4,Sinn Fein
SeAn O' Buachalla ,Male,Meath East,3,Green Party
Diarmaid O'Cadhla,Male,Cork South-Central ,4,Independent
Jim O'Callaghan,Male,Dublin Bay South,4,Fianna Fail
Cian O'allaghan,Male,Dublin Bay North,5,Social Democrats
Caoimhghin  O Caolain,Male,Cavan-Monaghan,4,Sinn Fein
Trevor O'Clochartaigh,Male,Galway West,5,Sinn Fein
Proinsias O Conarain,Male,Dublin Bay North,5,Independent
Jim O'Connell,Male,Cork South-Central ,4,People Before Profit Alliance
Fergal O'Connell,Male,Dublin Fingal,5,Independent
Aoife O'Connell,Female,Cavan-Monaghan,4,Direct Democracy Ireland
Kate O'Connell,Female,Dublin Bay South,4,Fine Gael
Eamon O'Cuiv,Male,Galway West,5,Fianna Fail
Willie  O'Dea,Male,Limerick City,4,Fianna Fail
Michael O'Donnell,Male,Cork North-West,3,Communist Party of Ireland
Kieran O'Donnell,Male,Limerick City,4,Fine Gael
Grace O'Donnell,Female,Kerry,5,Fine Gael
Richard  O'Donoghue,Male,Limerick County,3,Independent
Patrick O'Donovan,Male,Limerick County,3,Fine Gael
Deirdre O'Donovan,Female,Dublin South-West,5,Independent
Michael O'Dowd,Male,Louth,5,Renua
Fergus O'Dowd,Male,Louth,5,Fine Gael
Diana O'Dwyer,Female,Dublin Central,3,People Before Profit Alliance
Sean O'Fearghail,Male,Kildare South,3,Fianna Fail
Diarmuid  O'Flynn,Male,Cork North-West,3,Independent
Roderic  O'Gorman,Male,Dublin West,4,Green Party
John O'Gorman,Male,Limerick County,3,Independent
Frank O'Gorman,Male,Dublin South-West,5,Independent
Michael  O'Gorman,Male,Kerry,5,Independent
Oisin O' hAlmhain,Male,Dublin South-Central,4,Green Party
Bernie  O'Hara,Female,Sligo-Leitrim,4,Independent
Leslie O'Hora,Male,Sligo-Leitrim,4,Green Party
Kevin O'Keefe,Male,Cork East,4,Fianna Fail
Susan O'Keefe,Female,Sligo-Leitrim,4,Labour Party
